"IW","IF","VW","FP","Depth","Width"
"47","139","4.5","80","1.60","2.54"
"47","139","4.5","80","1.62","2.50"
"47","139","4.5","80","1.68","2.60"
"47","139","4.5","80","1.58","2.52"
"45","140","4.5","80","1.76","2.48"
"45","140","4.5","80","1.72","2.48"
"45","140","4.5","80","1.64","2.52"
"45","140","4.5","80","1.64","2.56"
"45","140","8.0","80","1.20","2.00"
"45","140","8.0","80","1.20","1.96"
"45","140","8.0","80","1.16","1.96"
"45","140","8.0","80","1.20","1.96"
"45","141","10.0","80","0.98","1.84"
"45","141","10.0","80","1.02","1.84"
"45","141","10.0","80","1.04","1.90"
"45","141","10.0","80","1.00","1.86"
"46","141","10.0","80","1.20","1.78"
"46","141","10.0","80","1.00","1.84"
"46","141","10.0","80","1.20","1.86"
"46","141","10.0","80","1.16","1.80"
"47","141","12.0","80","1.12","1.71"
"47","141","12.0","80","1.08","1.68"
"47","141","12.0","80","1.20","1.80"
"47","141","12.0","80","1.08","1.72"
"47","134","10.0","110","0.96","2.00"
"47","134","10.0","110","0.96","1.94"
"47","134","10.0","110","0.92","1.86"
"47","134","10.0","110","0.94","1.94"
"47","139","4.5","80","1.36","2.52"
"47","139","4.5","80","1.36","2.48"
"47","139","4.5","80","1.40","2.48"
"47","139","4.5","80","1.36","2.48"
"48","131","10.0","125","0.84","2.16"
"48","131","10.0","125","0.86","2.08"
"48","131","10.0","125","0.88","2.00"
"48","131","10.0","125","0.80","2.04"
"49","132","8.0","125","0.84","2.28"
"49","132","8.0","125","0.84","2.24"
"49","132","8.0","125","0.80","2.24"
"49","132","8.0","125","0.80","2.28"
"47","140","10.0","80","1.12","1.76"
"47","140","10.0","80","1.22","1.82"
"47","140","10.0","80","1.12","1.80"
"47","140","10.0","80","1.18","1.78"
"46","146","10.0","60","1.28","1.80"
"46","146","10.0","60","1.36","1.76"
"46","146","10.0","60","1.36","1.76"
"46","146","10.0","60","1.24","1.76"
"44","146","9.0","60","1.28","1.80"
"44","146","9.0","60","1.32","1.84"
"44","146","9.0","60","1.24","1.80"
"44","146","9.0","60","1.32","1.96"
"43","150","9.0","50","1.08","1.80"
"43","150","9.0","50","1.08","1.82"
"43","150","9.0","50","1.08","1.82"
"43","150","9.0","50","1.08","1.82"
"44","146","9.0","60","1.20","1.76"
"44","146","9.0","60","1.20","1.86"
"44","146","9.0","60","1.20","1.88"
"44","146","9.0","60","1.20","1.76"
"43","146","9.0","60","1.20","1.76"
"43","146","9.0","60","1.24","1.80"
"43","146","9.0","60","1.20","1.72"
"43","146","9.0","60","1.24","1.78"
"44","146","9.0","60","1.16","1.76"
"44","146","9.0","60","1.20","1.68"
"44","146","9.0","60","1.24","1.72"
"44","146","9.0","60","1.20","1.72"
"45","146","9.0","60","1.36","1.76"
"45","146","9.0","60","1.28","1.76"
"45","146","9.0","60","1.28","1.76"
"45","146","9.0","60","1.32","1.76"














